Date,Time,Voltage AN Min,Voltage AN Avg,Voltage AN Max,Voltage BN Min,Voltage BN Avg,Voltage BN Max,Voltage CN Min,Voltage CN Avg,Voltage CN Max,Current A Min,Current A Avg,Current A Max,Current B Min,Current B Avg,Current B Max,Current C Min,Current C Avg,Current C Max,Current N Min,Current N Avg,Current N Max,Frequency Min,Frequency Avg,Frequency Max,Active Power AN Min,Active Power AN Avg,Active Power AN Max,Active Power BN Min,Active Power BN Avg,Active Power BN Max,Active Power CN Min,Active Power CN Avg,Active Power CN Max,Active Power Total Min,Active Power Total Avg,Active Power Total Max,VA Full Classic AN Min,VA Full Classic AN Avg,VA Full Classic AN Max,VA Full Classic BN Min,VA Full Classic BN Avg,VA Full Classic BN Max,VA Full Classic CN Min,VA Full Classic CN Avg,VA Full Classic CN Max,VA Full Classic Total Min,VA Full Classic Total Avg,VA Full Classic Total Max,VAR Classic AN Min,VAR Classic AN Avg,VAR Classic AN Max,VAR Classic BN Min,VAR Classic BN Avg,VAR Classic BN Max,VAR Classic CN Min,VAR Classic CN Avg,VAR Classic CN Max,VAR Classic Total Min,VAR Classic Total Avg,VAR Classic Total Max,PF Classic AN Min,PF Classic AN Avg,PF Classic AN Max,PF Classic BN Min,PF Classic BN Avg,PF Classic BN Max,PF Classic CN Min,PF Classic CN Avg,PF Classic CN Max,PF Classic Total Min,PF Classic Total Avg,PF Classic Total Max,Cos Phi Classic AN Min,Cos Phi Classic AN Avg,Cos Phi Classic AN Max,Cos Phi Classic BN Min,Cos Phi Classic BN Avg,Cos Phi Classic BN Max,Cos Phi Classic CN Min,Cos Phi Classic CN Avg,Cos Phi Classic CN Max,Cos Phi Classic Total Min,Cos Phi Classic Total Avg,Cos Phi Classic Total Max,Distortion Power AN Min,Distortion Power AN Avg,Distortion Power AN Max,Distortion Power BN Min,Distortion Power BN Avg,Distortion Power BN Max,Distortion Power CN Min,Distortion Power CN Avg,Distortion Power CN Max,Distortion Power Total Min,Distortion Power Total Avg,Distortion Power Total Max,Active Energy AN Min,Active Energy AN Avg,Active Energy AN Max,Active Energy BN Min,Active Energy BN Avg,Active Energy BN Max,Active Energy CN Min,Active Energy CN Avg,Active Energy CN Max,Active Energy Total Min,Active Energy Total Avg,Active Energy Total Max,Reactive Energy AN Min,Reactive Energy AN Avg,Reactive Energy AN Max,Reactive Energy BN Min,Reactive Energy BN Avg,Reactive Energy BN Max,Reactive Energy CN Min,Reactive Energy CN Avg,Reactive Energy CN Max,Reactive Energy Total Min,Reactive Energy Total Avg,Reactive Energy Total Max,THD V AN Min,THD V AN Avg,THD V AN Max,THD V BN Min,THD V BN Avg,THD V BN Max,THD V CN Min,THD V CN Avg,THD V CN Max,THD A A Min,THD A A Avg,THD A A Max,THD A B Min,THD A B Avg,THD A B Max,THD A C Min,THD A C Avg,THD A C Max,THD A N Min,THD A N Avg,THD A N Max
27/12/2019,18:43.0,280.525,282.965,284.082,280.714,283.138,284.303,280.337,282.71299999999997,283.862,80.86399999999999,91.36399999999999,223.09099999999998,80.727,91.09100000000001,221.18200000000002,80.59100000000001,91.227,222.545,0,0,0,59.94,59.98,60.02,18357.545,21379.362999999998,37772.727,18319.773,21228.272999999997,37886.047,18244.227,21266.045,38452.637,54921.547,63873.68,114111.406,22890.272999999997,25874.318,62589.41,22890.272999999997,25798.772999999997,62136.137,22776.955,25798.772999999997,62362.773,68557.5,77471.867,187088.313,13296.0,14127.0,49708.91,13447.091,14202.546,50313.273,13258.228000000001,14127.0,49595.59,40001.32,42456.547,149617.781,0.5589999999999999,0.826,0.846,0.5489999999999999,0.823,0.846,0.569,0.8240000000000001,0.8540000000000001,0.5589999999999999,0.8240000000000001,0.8490000000000001,0.598,0.8340000000000001,0.858,0.583,0.831,0.8590000000000001,0.6,0.8320000000000001,0.858,0.594,0.8320000000000001,0.858,0.0,3286.2270000000003,28745.045,0.0,3172.909,29424.955,0.0,3361.7729999999997,26894.182,0.0,9820.909,85064.18,5342.909000000001,5342.909000000001,5342.909000000001,5310.932,5310.932,5310.932,5318.634,5318.634,5318.634,15972.475,15972.475,15972.475,3537.197,3537.197,3537.197,3557.217,3557.217,3557.217,3537.08,3537.08,3537.08,10631.493,10631.493,10631.493,2.4,2.7,2.9,2.4,2.7,2.9,2.4,2.7,2.9,5.3,14.2,20.2,4.8,13.7,20.1,5.4,14.4,20.7,99.9,99.9,99.9
27/12/2019,33:43.0,281.533,284.067,284.649,281.69,284.224,284.83799999999997,281.501,283.79900000000004,284.42900000000003,80.86399999999999,91.90899999999999,227.18200000000002,80.59100000000001,91.773,224.045,80.455,91.63600000000001,223.5,0,0,0,59.96,59.99,60.03,18470.863,21417.137000000002,38263.773,18357.545,21341.592,36941.727,18282.0,21266.045,37546.09,55110.405999999995,64024.773,112751.594,22965.818,26100.955,63949.227,22928.045,26100.955,63118.227,22852.5,26025.408,62967.137,68746.359,78227.32,190034.59399999998,13484.863000000001,14466.954,51219.816,13635.954,14618.046,51824.184,13560.409,14504.728000000001,50388.816,40681.227,43589.727,153432.813,0.544,0.821,0.843,0.537,0.818,0.8370000000000001,0.537,0.818,0.841,0.539,0.8190000000000001,0.84,0.584,0.8290000000000001,0.855,0.574,0.825,0.8490000000000001,0.593,0.826,0.853,0.584,0.8270000000000001,0.852,0.0,3361.7729999999997,29802.682,0.0,3248.455,30293.727000000003,0.0,3437.3179999999998,29500.5,0.0,10047.545,89596.906,10702.103000000001,10702.103000000001,10702.103000000001,10646.514,10646.514,10646.514,10638.848,10638.848,10638.848,31987.465,31987.465,31987.465,7153.076999999999,7153.076999999999,7153.076999999999,7213.88,7213.88,7213.88,7170.95,7170.95,7170.95,21537.906000000003,21537.906000000003,21537.906000000003,2.6,2.6,2.8,2.6,2.6,2.8,2.6,2.7,2.9,5.0,14.1,19.9,4.9,13.7,19.7,5.2,14.3,20.2,99.9,99.9,99.9
27/12/2019,48:43.0,282.036,284.57,285.121,282.131,284.728,285.184,281.973,284.256,284.83799999999997,77.59100000000001,88.90899999999999,225.955,79.36399999999999,89.86399999999999,224.864,78.13600000000001,89.182,220.364,0,0,0,59.95,59.97,60.0,17526.545,20699.455,39321.41,17753.182,20812.773,37659.41,17262.137,20510.592,37621.637,52541.863,62022.82,114602.45300000001,22097.045,25307.727000000003,63760.363,22588.092,25572.137000000002,63458.184,22210.362999999998,25345.5,62136.137,66895.5,76225.359,189354.688,13447.091,14164.771999999999,50691.0,13673.728000000001,14504.728000000001,51748.637,13560.409,14504.728000000001,49746.684,40681.227,43174.227,152186.313,0.524,0.818,0.8370000000000001,0.522,0.8140000000000001,0.86,0.528,0.809,0.831,0.525,0.8140000000000001,0.843,0.5920000000000001,0.825,0.8440000000000001,0.5720000000000001,0.821,0.85,0.583,0.816,0.8390000000000001,0.5820000000000001,0.821,0.8440000000000001,0.0,3021.8179999999998,30255.955,0.0,2870.7270000000003,30407.045,0.0,3135.136,28593.955,0.0,9027.681999999999,89256.95300000001,15880.425,15880.425,15880.425,15856.636999999999,15856.636999999999,15856.636999999999,15770.336000000001,15770.336000000001,15770.336000000001,47507.398,47507.398,47507.398,10701.633999999998,10701.633999999998,10701.633999999998,10842.796999999999,10842.796999999999,10842.796999999999,10802.771,10802.771,10802.771,32347.201,32347.201,32347.201,2.4,2.6,2.7,2.5,2.6,2.7,2.5,2.6,2.8,3.8,13.5,17.9,2.8,12.9,17.9,3.3,13.5,18.3,99.9,99.9,99.9
27/12/2019,03:43.0,280.085,284.318,285.688,280.211,284.492,285.94,279.99,284.004,285.467,76.63600000000001,86.727,219.40900000000002,77.045,87.40899999999999,217.773,76.63600000000001,86.59100000000001,221.59099999999998,0,0,0,59.94,59.97,60.03,17224.363,20095.092,36903.953,17224.363,20095.092,36375.137,17073.273,19830.682,36677.316,51522.0,60020.867,109956.406,21681.545,24665.592,61569.547,21870.408,24854.455,61494.0,21681.545,24590.045,62513.863,65233.5,74110.094,185577.40600000002,13107.136999999999,14051.454,50199.953,13371.546,14391.409,50464.363,13296.0,14278.091,50502.137,39774.684,42720.953,151166.453,0.5579999999999999,0.8140000000000001,0.8340000000000001,0.542,0.8079999999999999,0.836,0.556,0.8059999999999999,0.831,0.552,0.809,0.8340000000000001,0.578,0.82,0.8390000000000001,0.563,0.813,0.838,0.58,0.8109999999999999,0.836,0.574,0.815,0.838,0.0,2493.0,26025.408,0.0,2190.8179999999998,27196.362999999998,0.0,2530.7729999999997,25723.227000000003,0.0,7214.590999999999,78945.0,20906.02,20906.02,20906.02,20886.266,20886.266,20886.266,20728.459,20728.459,20728.459,62520.742,62520.742,62520.742,14214.518,14214.518,14214.518,14445.776000000002,14445.776000000002,14445.776000000002,14376.553,14376.553,14376.553,43036.848,43036.848,43036.848,2.5,2.5,2.7,2.5,2.6,2.7,2.5,2.6,2.8,3.8,11.7,17.1,3.0,11.1,16.7,3.2,11.7,17.2,99.9,99.9,99.9
27/12/2019,18:43.0,279.959,282.43,282.855,280.14799999999997,282.603,283.04400000000004,279.644,282.084,282.509,76.63600000000001,87.273,218.18200000000002,76.63600000000001,87.40899999999999,216.955,76.36399999999999,86.86399999999999,219.273,0,0,0,59.92,59.95,60.0,17186.592,20132.863,36601.773,17073.273,20057.318,35846.316,17073.273,19906.227,36224.047,51333.140999999996,60096.405999999995,108672.141,21643.772999999997,24627.818,61078.5,21643.772999999997,24703.362999999998,60814.09,21568.227000000003,24514.5,61342.91,64855.773,73845.68,183235.5,13069.363000000001,13862.591,49406.727,13182.681999999999,14164.771999999999,49482.273,13031.591,14013.681999999999,49520.047,39283.637,42041.047,148409.047,0.581,0.818,0.8420000000000001,0.573,0.812,0.8370000000000001,0.59,0.812,0.836,0.581,0.8140000000000001,0.838,0.581,0.823,0.848,0.5770000000000001,0.8170000000000001,0.84,0.591,0.8170000000000001,0.843,0.583,0.8190000000000001,0.8440000000000001,0.0,2568.545,17677.637,0.0,2304.136,18886.363,0.0,2606.3179999999998,16657.773,0.0,7479.0,53221.773,25943.035,25943.035,25943.035,25908.012000000002,25908.012000000002,25908.012000000002,25705.327999999998,25705.327999999998,25705.327999999998,77556.375,77556.375,77556.375,17688.508,17688.508,17688.508,17990.365,17990.365,17990.365,17883.828,17883.828,17883.828,53562.703,53562.703,53562.703,2.5,2.6,2.7,2.5,2.6,2.7,2.5,2.6,2.8,3.9,12.0,18.0,3.0,11.5,17.8,3.3,11.9,18.3,99.9,99.9,99.9
27/12/2019,33:43.0,279.801,282.43,282.949,279.99,282.603,283.04400000000004,279.707,282.115,282.634,76.90899999999999,87.13600000000001,222.136,77.182,87.682,219.273,76.90899999999999,87.0,216.0,0,0,0,59.95,59.99,60.04,17224.363,20170.637,37546.09,17299.908,20208.408,36186.273,17073.273,19944.0,36337.363,51597.547,60323.047,110069.727,21757.092,24627.818,62173.91,21832.637000000002,24778.908,61380.684,21719.318,24552.272999999997,60398.59,65309.047,73959.0,183953.188,13031.591,13787.046,49708.91,13333.771999999999,14127.0,50162.184,13182.681999999999,14013.681999999999,48424.637,39548.047,41927.727,148295.734,0.596,0.82,0.8420000000000001,0.574,0.815,0.833,0.5920000000000001,0.812,0.8370000000000001,0.5870000000000001,0.816,0.8370000000000001,0.598,0.826,0.846,0.575,0.82,0.838,0.594,0.818,0.841,0.589,0.821,0.8420000000000001,0.0,2606.3179999999998,21870.408,0.0,2341.909,21794.862999999998,0.0,2568.545,21681.545,0.0,7516.772,65346.816,30991.818,30991.818,30991.818,30960.592,30960.592,30960.592,30697.01,30697.01,30697.01,92649.42199999999,92649.42199999999,92649.42199999999,21140.416,21140.416,21140.416,21522.352000000003,21522.352000000003,21522.352000000003,21392.066000000003,21392.066000000003,21392.066000000003,64054.835999999996,64054.835999999996,64054.835999999996,2.5,2.5,2.7,2.4,2.6,2.7,2.5,2.6,2.8,4.0,12.2,16.6,3.1,11.6,16.0,3.2,12.0,16.5,99.9,99.9,99.9
27/12/2019,48:43.0,280.305,282.54,282.981,280.494,282.71299999999997,283.233,280.116,282.21,282.634,76.90899999999999,87.13600000000001,222.545,77.455,87.955,220.636,76.773,87.273,219.955,0,0,0,59.98,60.0,60.05,17337.682,20208.408,38943.684,17299.908,20283.955,37697.184,17111.045,19981.773,37659.41,51748.633,60474.137,114300.281,21757.092,24627.818,62362.773,21945.955,24892.227000000003,61871.727,21681.545,24627.818,61607.316,65384.594000000005,74147.859,185841.813,13031.591,13787.046,49520.047,13371.546,14127.0,50313.273,13182.681999999999,14089.228000000001,49557.816,39585.82,42003.273,149391.141,0.583,0.82,0.8420000000000001,0.575,0.815,0.8390000000000001,0.593,0.8109999999999999,0.8370000000000001,0.584,0.815,0.8390000000000001,0.584,0.826,0.8490000000000001,0.5770000000000001,0.821,0.8440000000000001,0.595,0.8170000000000001,0.843,0.585,0.821,0.845,0.0,2757.409,8612.181999999999,0.0,2493.0,9027.681999999999,0.0,2795.1820000000002,8045.590999999999,0.0,8045.590999999999,25685.452999999998,36045.168,36045.168,36045.168,36037.59,36037.59,36037.59,35695.125,35695.125,35695.125,107777.883,107777.883,107777.883,24589.593999999997,24589.593999999997,24589.593999999997,25058.389,25058.389,25058.389,24915.213,24915.213,24915.213,74563.195,74563.195,74563.195,2.4,2.5,2.7,2.4,2.5,2.7,2.5,2.6,2.7,4.0,12.6,18.0,3.3,12.1,18.0,3.4,12.6,18.6,99.9,99.9,99.9
27/12/2019,03:43.0,279.707,282.54,283.264,279.83299999999997,282.72900000000004,283.51599999999996,279.58099999999996,282.225,283.012,76.90899999999999,88.773,221.864,77.59100000000001,88.90899999999999,220.364,77.182,88.63600000000001,219.81799999999998,0,0,0,59.97,60.0,60.05,17337.682,20548.363,37243.91,17413.227,20510.592,35846.316,17148.818,20397.273,36526.227,51899.727,61456.227,109616.45300000001,21757.092,25081.092,62060.59,21983.727000000003,25118.862999999998,61682.863,21832.637000000002,25005.545,61607.316,65573.453,75205.5,185350.766,12956.046,14051.454,49935.547,13296.0,14278.091,50539.91,13069.363000000001,14164.771999999999,49557.816,39321.41,42494.316,150033.281,0.536,0.82,0.845,0.539,0.816,0.8440000000000001,0.529,0.816,0.845,0.535,0.8170000000000001,0.845,0.58,0.826,0.848,0.5720000000000001,0.821,0.8440000000000001,0.586,0.821,0.852,0.579,0.823,0.848,0.0,2568.545,29047.227000000003,0.0,2379.6820000000002,27989.592,0.0,2606.3179999999998,28971.682,0.0,7554.545,86008.5,41188.578,41188.578,41188.578,41166.023,41166.023,41166.023,40795.473,40795.473,40795.473,123150.07800000001,123150.07800000001,123150.07800000001,28109.27,28109.27,28109.27,28630.783,28630.783,28630.783,28458.705,28458.705,28458.705,85198.758,85198.758,85198.758,2.5,2.5,2.7,2.5,2.6,2.7,2.5,2.6,2.7,3.9,12.1,17.8,3.0,11.6,17.9,3.4,12.0,18.1,99.9,99.9,99.9
27/12/2019,18:43.0,279.172,281.942,282.88599999999997,279.487,282.131,283.012,278.983,281.659,282.44599999999997,76.5,89.86399999999999,216.955,76.90899999999999,87.955,215.18200000000002,77.045,88.773,220.09099999999998,0,0,0,59.96,59.99,60.04,17186.592,20812.773,36639.547,17224.363,20246.182,36035.184,17186.592,20661.682,36186.273,51597.547,61720.637,108861.0,21568.227000000003,25345.5,60776.316,21643.772999999997,24816.682,60323.047,21681.545,25005.545,61380.684,64893.547,75167.727,182480.047,12956.046,14127.0,48915.684,13144.909,14013.681999999999,49331.184,11407.363000000001,13635.954,49557.816,37508.32,41776.637,147804.688,0.54,0.821,0.8420000000000001,0.5539999999999999,0.8170000000000001,0.8590000000000001,0.539,0.825,0.909,0.544,0.821,0.87,0.581,0.8270000000000001,0.853,0.575,0.823,0.847,0.59,0.8320000000000001,0.909,0.5820000000000001,0.8270000000000001,0.87,0.0,2757.409,28329.545,0.0,2568.545,26894.182,0.0,2719.636,27271.908,0.0,8045.590999999999,82495.633,46392.155999999995,46392.155999999995,46392.155999999995,46235.77,46235.77,46235.77,45965.113,45965.113,45965.113,138593.031,138593.031,138593.031,31643.164,31643.164,31643.164,32138.205,32138.205,32138.205,31875.5,31875.5,31875.5,95656.867,95656.867,95656.867,2.4,2.5,2.6,2.4,2.5,2.7,2.4,2.5,2.7,3.7,12.6,18.5,3.2,12.3,18.0,3.4,12.5,18.3,99.9,99.9,99.9
27/12/2019,33:43.0,279.235,281.659,282.288,279.361,281.753,282.351,279.046,281.281,281.879,76.90899999999999,88.227,221.045,76.63600000000001,87.682,220.636,76.773,87.545,215.864,0,0,0,59.96,59.99,60.03,17224.363,20397.273,37130.59,17111.045,20095.092,36224.047,17111.045,20170.637,35770.773,51446.453,60663.0,109125.406,21643.772999999997,24854.455,61720.637,21643.772999999997,24703.362999999998,61645.09,21606.0,24627.818,60247.5,64893.547,74185.641,183613.21899999998,12956.046,13900.363000000001,49331.184,13144.909,14013.681999999999,50502.137,11369.591,13749.271999999999,48764.59,37470.547,41663.316,148597.906,0.599,0.821,0.838,0.575,0.815,0.8340000000000001,0.5870000000000001,0.8190000000000001,0.904,0.5870000000000001,0.818,0.8590000000000001,0.6,0.8270000000000001,0.846,0.575,0.821,0.836,0.588,0.825,0.905,0.588,0.8240000000000001,0.862,0.0,2644.091,8347.771999999999,0.0,2530.7729999999997,6723.545,0.0,2644.091,6723.545,0.0,7818.954000000001,21794.862999999998,51498.328,51498.328,51498.328,51267.684,51267.684,51267.684,51010.883,51010.883,51010.883,153776.891,153776.891,153776.891,35119.156,35119.156,35119.156,35650.547,35650.547,35650.547,35319.488,35319.488,35319.488,106089.18800000001,106089.18800000001,106089.18800000001,2.4,2.4,2.6,2.4,2.5,2.6,2.4,2.5,2.7,4.1,12.6,16.4,3.3,12.2,15.8,3.6,12.3,16.1,99.9,99.9,99.9
